0,Доля_детей_5-18 лет,Естесственный_прирост_населения,Количество_малых_и_средних_предприятий,Миграционный_прирост_населения,Общий_коэффициент_рождаемости,Общий_коэффициент_смертности,Площадь_жилых_помещений_на_1_жителя,Процент_парков_и_лесов_от_площади,Процент_работающих_в_малом_и_среднем_бизнесе,Средняя_зарплата_сотрудников_крупных_организаций,Стоимость_съема_квартиры_площадью_в_40_м2,Цена_за_квадратный_метр_жилья_медианная,Выдано_разрешений_на_строительство,Численность_населения
район Раменки,11.7,1.5,283.9,2.93,8.8,7.3,31.2,15.58872093,27.5,69449.39434,41379.0,238095.2381,29,138100
район Ростокино,11.94,-1.9,556.23,-9.05,8.5,10.4,18.0,15.31704292,52.27,85821.07281,35076.0,180454.5182,3,39300
Рязанский район,11.52,4.1,355.8,14.9,11.5,7.4,18.0,2.181647375,50.98,49138.37923,31250.0,152931.4241,6,108600
район Савёлки,11.84,3.9,404.46,12.8,15.9,12.0,20.9,12.5581791,55.55,63618.9,21667.0,123076.9231,2,34000
Савёловский район,14.01,4.0,415.16,4.49,13.5,9.5,19.1,1.567803556,28.27,104698.1296,38667.0,196080.8411,2,59200
район Свиблово,11.55,-2.4,291.56,6.24,7.0,9.4,17.9,15.21648348,53.15,75921.71416,34595.0,196524.9917,2,61900
район Северное Бутово,10.21,1.2,162.58,19.58,9.9,8.7,18.4,14.52403162,58.08,65923.74557,28000.0,145019.084,0,95300
район Северное Измайлово,12.84,-13.3,208.16,16.1,3.5,16.8,18.8,2.362926817,69.09,62670.3,30303.0,153153.6587,5,87400
район Северное Медведково,14.63,-0.7,135.27,17.17,7.6,8.3,15.8,5.516925028,59.19,56690.7839,31667.0,157142.8571,2,127100
район Северное Тушино,13.0,1.6,131.51,10.36,9.4,7.8,15.7,27.8959245,53.84,67246.89627,32000.0,157505.08,3,165000
район Северный,14.17,3.5,105.57,9.56,10.3,6.8,25.5,10.54617066,48.29,91959.15239,27368.0,124900.0,20,34000
район Силино,12.32,-0.1,224.38,17.85,8.5,8.6,19.2,7.679746176,81.84,52222.2,20952.0,115094.3396,6,39900
район Сокол,11.17,-2.6,415.99,18.38,6.2,8.8,21.0,6.630739364,32.63,84335.7563,37838.0,211669.9083,4,59200
район Соколиная Гора,10.29,0.6,541.46,23.66,10.3,9.7,18.1,1.388979772,9.34,80232.1,34286.0,177535.3218,12,90500
район Сокольники,8.95,-0.5,910.03,10.19,8.3,8.8,19.2,84.93364085,52.52,85692.2,38640.5,214705.8824,0,61000
район Солнцево,12.32,1.2,144.51,12.45,10.2,9.0,17.1,3.574467533,66.04,70394.49719,28679.0,132828.5714,9,124100
район Старое Крюково,13.44,-4.4,292.26,12.03,9.6,14.0,19.0,23.92789336,45.38,89443.7,21622.0,115125.3298,2,30700
район Строгино,11.57,-0.5,156.23,21.23,7.1,7.6,16.4,18.67093602,46.5,69838.00387,33846.0,179278.0749,4,159600
Таганский район,10.94,0.8,665.77,8.87,10.4,9.6,20.8,4.744838524,33.04,106915.0162,42105.0,221993.0556,8,120500
Тверской район,13.79,0.9,1649.7,6.04,9.4,8.5,26.6,12.77092226,9.79,104109.0133,41860.0,250000.0,11,77400
